Learning_Rate,Batch_Size,Metric,Test_Used,p_value,Best_Method,Best_Mean,Significant,Second_Best,Mean_Difference
0.01,128.0,Train_Accuracy,Kruskal-Wallis,5e-05,FixedL1,0.9996,True,Adaptive,0.0002
0.01,128.0,Train_Precision,Kruskal-Wallis,0.00043,FixedL1,0.9995,True,Adaptive,0.0001
0.01,128.0,Train_Recall,Kruskal-Wallis,4e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Train_F1,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Train_MCC,Kruskal-Wallis,5e-05,FixedL1,0.9995,True,Adaptive,0.0002
0.01,128.0,Val_Accuracy,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_Precision,Kruskal-Wallis,0.00086,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_Recall,Kruskal-Wallis,8e-05,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_F1,Kruskal-Wallis,0.00022,FixedL1,0.9996,True,Adaptive,0.0001
0.01,128.0,Val_MCC,Kruskal-Wallis,7e-05,FixedL1,0.9995,True,Adaptive,0.0002
0.01,128.0,Test_Accuracy,Kruskal-Wallis,4e-05,FixedL1,0.9997,True,Adaptive,0.0003
0.01,128.0,Test_Precision,Kruskal-Wallis,0.00036,FixedL1,0.9996,True,ElasticNet,0.0002
0.01,128.0,Test_Recall,Kruskal-Wallis,5e-05,FixedL1,0.9996,True,Adaptive,0.0003
0.01,128.0,Test_F1,Kruskal-Wallis,9e-05,FixedL1,0.9996,True,Adaptive,0.0003
0.01,128.0,Test_MCC,Kruskal-Wallis,4e-05,FixedL1,0.9995,True,Adaptive,0.0004
0.01,256.0,Train_Accuracy,Kruskal-Wallis,0.01211,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Train_Precision,Kruskal-Wallis,0.02649,FixedL1,0.9995,True,ElasticNet,0.0002
0.01,256.0,Train_Recall,Kruskal-Wallis,0.00822,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Train_F1,Kruskal-Wallis,0.01764,FixedL1,0.9995,True,ElasticNet,0.0003
0.01,256.0,Train_MCC,Kruskal-Wallis,0.01187,FixedL1,0.9995,True,ElasticNet,0.0004
0.01,256.0,Val_Accuracy,Kruskal-Wallis,0.01434,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Val_Precision,Kruskal-Wallis,0.03729,FixedL1,0.9995,True,ElasticNet,0.0002
0.01,256.0,Val_Recall,Kruskal-Wallis,0.01818,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Val_F1,Kruskal-Wallis,0.02491,FixedL1,0.9995,True,ElasticNet,0.0003
0.01,256.0,Val_MCC,Kruskal-Wallis,0.01473,FixedL1,0.9995,True,ElasticNet,0.0004
0.01,256.0,Test_Accuracy,Kruskal-Wallis,0.00525,FixedL1,0.9996,True,ElasticNet,0.0003
0.01,256.0,Test_Precision,Kruskal-Wallis,0.02531,FixedL1,0.9995,True,ElasticNet,0.0002
0.01,256.0,Test_Recall,Kruskal-Wallis,0.00712,FixedL1,0.9996,True,ElasticNet,0.0004
0.01,256.0,Test_F1,Kruskal-Wallis,0.01632,FixedL1,0.9995,True,ElasticNet,0.0003
0.01,256.0,Test_MCC,Kruskal-Wallis,0.00543,FixedL1,0.9994,True,ElasticNet,0.0004
0.01,32.0,Train_Accuracy,Kruskal-Wallis,1e-05,FixedL1,0.9996,True,Adaptive,0.0006
0.01,32.0,Train_Precision,Kruskal-Wallis,2e-05,FixedL1,0.9996,True,FixedL2,0.0007
0.01,32.0,Train_Recall,Kruskal-Wallis,6e-05,FixedL1,0.9996,True,Adaptive,0.0007
0.01,32.0,Train_F1,Kruskal-Wallis,3e-05,FixedL1,0.9996,True,Adaptive,0.0007
0.01,32.0,Train_MCC,Kruskal-Wallis,1e-05,FixedL1,0.9995,True,Adaptive,0.0008
0.01,32.0,Val_Accuracy,Kruskal-Wallis,2e-05,FixedL1,0.9996,True,Adaptive,0.0005
0.01,32.0,Val_Precision,Kruskal-Wallis,3e-05,FixedL1,0.9996,True,Adaptive,0.0006
0.01,32.0,Val_Recall,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,Adaptive,0.0006
0.01,32.0,Val_F1,Kruskal-Wallis,4e-05,FixedL1,0.9996,True,Adaptive,0.0006
0.01,32.0,Val_MCC,Kruskal-Wallis,2e-05,FixedL1,0.9994,True,Adaptive,0.0007
0.01,32.0,Test_Accuracy,Kruskal-Wallis,3e-05,FixedL1,0.9996,True,FixedL2,0.0006
0.01,32.0,Test_Precision,Kruskal-Wallis,3e-05,FixedL1,0.9995,True,FixedL2,0.0006
0.01,32.0,Test_Recall,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,FixedL2,0.0007
0.01,32.0,Test_F1,Kruskal-Wallis,5e-05,FixedL1,0.9996,True,FixedL2,0.0007
0.01,32.0,Test_MCC,Kruskal-Wallis,3e-05,FixedL1,0.9994,True,FixedL2,0.0008
0.01,64.0,Train_Accuracy,Kruskal-Wallis,0.00019,FixedL1,0.9997,True,Adaptive,0.0005
0.01,64.0,Train_Precision,Kruskal-Wallis,0.00012,FixedL1,0.9997,True,Adaptive,0.0005
0.01,64.0,Train_Recall,Kruskal-Wallis,7e-05,FixedL1,0.9997,True,Adaptive,0.0007
0.01,64.0,Train_F1,Kruskal-Wallis,0.00012,FixedL1,0.9997,True,Adaptive,0.0006
0.01,64.0,Train_MCC,Kruskal-Wallis,0.00019,FixedL1,0.9996,True,Adaptive,0.0007
0.01,64.0,Val_Accuracy,Kruskal-Wallis,0.00021,FixedL1,0.9997,True,Adaptive,0.0005
0.01,64.0,Val_Precision,Kruskal-Wallis,0.00014,FixedL1,0.9997,True,Adaptive,0.0006
0.01,64.0,Val_Recall,Kruskal-Wallis,9e-05,FixedL1,0.9998,True,Adaptive,0.0007
0.01,64.0,Val_F1,Kruskal-Wallis,0.0001,FixedL1,0.9997,True,Adaptive,0.0006
0.01,64.0,Val_MCC,Kruskal-Wallis,0.00018,FixedL1,0.9996,True,Adaptive,0.0007
0.01,64.0,Test_Accuracy,Kruskal-Wallis,7e-05,FixedL1,0.9997,True,ElasticNet,0.0005
0.01,64.0,Test_Precision,Kruskal-Wallis,8e-05,FixedL1,0.9997,True,Adaptive,0.0006
0.01,64.0,Test_Recall,Kruskal-Wallis,4e-05,FixedL1,0.9997,True,ElasticNet,0.0006
0.01,64.0,Test_F1,Kruskal-Wallis,5e-05,FixedL1,0.9997,True,ElasticNet,0.0007
0.01,64.0,Test_MCC,Kruskal-Wallis,7e-05,FixedL1,0.9996,True,ElasticNet,0.0007
0.001,128.0,Train_Accuracy,Kruskal-Wallis,0.0935,FixedL1,0.9999,False,ElasticNet,0.0002
0.001,128.0,Train_Precision,Kruskal-Wallis,0.07669,FixedL1,0.9998,False,ElasticNet,0.0002
0.001,128.0,Train_Recall,Kruskal-Wallis,0.03528,FixedL1,0.9998,True,ElasticNet,0.0002
0.001,128.0,Train_F1,Kruskal-Wallis,0.04885,FixedL1,0.9998,True,ElasticNet,0.0002
0.001,128.0,Train_MCC,Kruskal-Wallis,0.09268,FixedL1,0.9998,False,ElasticNet,0.0003
0.001,128.0,Val_Accuracy,Kruskal-Wallis,0.0967,FixedL1,0.9999,False,MLP,0.0002
0.001,128.0,Val_Precision,Kruskal-Wallis,0.1244,FixedL1,0.9999,False,ElasticNet,0.0003
0.001,128.0,Val_Recall,Kruskal-Wallis,0.06214,FixedL1,0.9999,False,ElasticNet,0.0002
0.001,128.0,Val_F1,Kruskal-Wallis,0.07172,FixedL1,0.9999,False,ElasticNet,0.0002
0.001,128.0,Val_MCC,Kruskal-Wallis,0.09111,FixedL1,0.9998,False,MLP,0.0003
0.001,128.0,Test_Accuracy,Kruskal-Wallis,0.11486,FixedL1,0.9998,False,MLP,0.0002
0.001,128.0,Test_Precision,Kruskal-Wallis,0.11866,FixedL1,0.9998,False,MLP,0.0002
0.001,128.0,Test_Recall,Kruskal-Wallis,0.05966,FixedL1,0.9998,False,ElasticNet,0.0002
0.001,128.0,Test_F1,Kruskal-Wallis,0.10262,FixedL1,0.9998,False,ElasticNet,0.0002
0.001,128.0,Test_MCC,Kruskal-Wallis,0.09392,FixedL1,0.9998,False,MLP,0.0003
0.001,256.0,Train_Accuracy,Kruskal-Wallis,0.12745,Adaptive,0.9998,False,MLP,0.0001
0.001,256.0,Train_Precision,Kruskal-Wallis,0.09659,Adaptive,0.9998,False,MLP,0.0002
0.001,256.0,Train_Recall,Kruskal-Wallis,0.11938,Adaptive,0.9998,False,GGAR,0.0002
0.001,256.0,Train_F1,Kruskal-Wallis,0.12413,Adaptive,0.9998,False,MLP,0.0002
0.001,256.0,Train_MCC,Kruskal-Wallis,0.13214,Adaptive,0.9997,False,MLP,0.0002
0.001,256.0,Val_Accuracy,ANOVA,0.03064,Adaptive,0.9998,True,MLP,0.0001
0.001,256.0,Val_Precision,ANOVA,0.02229,Adaptive,0.9998,True,MLP,0.0002
0.001,256.0,Val_Recall,ANOVA,0.03427,Adaptive,0.9998,True,FixedL1,0.0002
0.001,256.0,Val_F1,ANOVA,0.02556,Adaptive,0.9998,True,FixedL1,0.0002
0.001,256.0,Val_MCC,ANOVA,0.03077,Adaptive,0.9997,True,MLP,0.0002
0.001,256.0,Test_Accuracy,Kruskal-Wallis,0.11639,Adaptive,0.9998,False,MLP,0.0001
0.001,256.0,Test_Precision,Kruskal-Wallis,0.05741,Adaptive,0.9998,False,MLP,0.0001
0.001,256.0,Test_Recall,Kruskal-Wallis,0.13354,Adaptive,0.9998,False,MLP,0.0002
0.001,256.0,Test_F1,Kruskal-Wallis,0.07561,Adaptive,0.9998,False,MLP,0.0001
0.001,256.0,Test_MCC,Kruskal-Wallis,0.10839,Adaptive,0.9997,False,MLP,0.0001
0.001,32.0,Train_Accuracy,Kruskal-Wallis,0.42127,MLP,0.9996,False,ElasticNet,0.0
0.001,32.0,Train_Precision,Kruskal-Wallis,0.46644,FixedL1,0.9996,False,MLP,0.0
0.001,32.0,Train_Recall,Kruskal-Wallis,0.46601,ElasticNet,0.9996,False,Adaptive,0.0
0.001,32.0,Train_F1,Kruskal-Wallis,0.52412,ElasticNet,0.9996,False,MLP,0.0
0.001,32.0,Train_MCC,Kruskal-Wallis,0.44511,MLP,0.9995,False,ElasticNet,0.0
0.001,32.0,Val_Accuracy,Kruskal-Wallis,0.27641,FixedL1,0.9996,False,MLP,0.0
0.001,32.0,Val_Precision,Kruskal-Wallis,0.21216,FixedL1,0.9996,False,MLP,0.0001
0.001,32.0,Val_Recall,Kruskal-Wallis,0.46434,MLP,0.9996,False,ElasticNet,0.0
0.001,32.0,Val_F1,Kruskal-Wallis,0.34113,FixedL1,0.9996,False,MLP,0.0
0.001,32.0,Val_MCC,Kruskal-Wallis,0.24653,FixedL1,0.9995,False,MLP,0.0
0.001,32.0,Test_Accuracy,Kruskal-Wallis,0.23939,ElasticNet,0.9996,False,MLP,0.0
0.001,32.0,Test_Precision,Kruskal-Wallis,0.22969,FixedL1,0.9996,False,ElasticNet,0.0
0.001,32.0,Test_Recall,Kruskal-Wallis,0.34933,ElasticNet,0.9996,False,MLP,0.0
0.001,32.0,Test_F1,Kruskal-Wallis,0.30724,ElasticNet,0.9996,False,MLP,0.0
0.001,32.0,Test_MCC,Kruskal-Wallis,0.23449,ElasticNet,0.9995,False,MLP,0.0
0.001,64.0,Train_Accuracy,Kruskal-Wallis,0.0604,FixedL1,0.9998,False,Adaptive,0.0001
0.001,64.0,Train_Precision,Kruskal-Wallis,0.03237,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Train_Recall,Kruskal-Wallis,0.04396,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Train_F1,Kruskal-Wallis,0.03158,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Train_MCC,Kruskal-Wallis,0.06224,FixedL1,0.9997,False,Adaptive,0.0002
0.001,64.0,Val_Accuracy,Kruskal-Wallis,0.04108,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Val_Precision,Kruskal-Wallis,0.01499,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Val_Recall,Kruskal-Wallis,0.0204,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Val_F1,Kruskal-Wallis,0.01822,FixedL1,0.9998,True,Adaptive,0.0001
0.001,64.0,Val_MCC,Kruskal-Wallis,0.04315,FixedL1,0.9997,True,Adaptive,0.0001
0.001,64.0,Test_Accuracy,Kruskal-Wallis,0.13099,FixedL1,0.9997,False,Adaptive,0.0
0.001,64.0,Test_Precision,Kruskal-Wallis,0.09029,FixedL1,0.9997,False,Adaptive,0.0001
0.001,64.0,Test_Recall,Kruskal-Wallis,0.08109,FixedL1,0.9997,False,Adaptive,0.0001
0.001,64.0,Test_F1,Kruskal-Wallis,0.10475,FixedL1,0.9997,False,Adaptive,0.0001
0.001,64.0,Test_MCC,Kruskal-Wallis,0.12675,FixedL1,0.9996,False,Adaptive,0.0001
0.0001,128.0,Train_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Train_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Train_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Train_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Train_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Val_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Val_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Val_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Val_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Val_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Test_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Test_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Test_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Test_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0001
0.0001,128.0,Test_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,256.0,Train_Accuracy,Kruskal-Wallis,0.00093,GGAR,0.9997,True,MLP,0.0
0.0001,256.0,Train_Precision,Kruskal-Wallis,0.00111,MLP,0.9996,True,GGAR,0.0
0.0001,256.0,Train_Recall,Kruskal-Wallis,0.00169,GGAR,0.9997,True,FixedL1,0.0
0.0001,256.0,Train_F1,Kruskal-Wallis,0.0012,GGAR,0.9996,True,MLP,0.0
0.0001,256.0,Train_MCC,Kruskal-Wallis,0.0009,GGAR,0.9996,True,MLP,0.0
0.0001,256.0,Val_Accuracy,Kruskal-Wallis,0.01957,MLP,0.9997,True,GGAR,0.0
0.0001,256.0,Val_Precision,Kruskal-Wallis,0.01184,MLP,0.9996,True,GGAR,0.0001
0.0001,256.0,Val_Recall,Kruskal-Wallis,0.05247,FixedL1,0.9996,False,GGAR,0.0
0.0001,256.0,Val_F1,Kruskal-Wallis,0.0164,MLP,0.9996,True,GGAR,0.0
0.0001,256.0,Val_MCC,Kruskal-Wallis,0.01559,MLP,0.9995,True,GGAR,0.0
0.0001,256.0,Test_Accuracy,Kruskal-Wallis,0.01077,GGAR,0.9996,True,FixedL1,0.0001
0.0001,256.0,Test_Precision,Kruskal-Wallis,0.00682,GGAR,0.9996,True,MLP,0.0001
0.0001,256.0,Test_Recall,Kruskal-Wallis,0.01573,GGAR,0.9996,True,FixedL1,0.0001
0.0001,256.0,Test_F1,Kruskal-Wallis,0.00996,GGAR,0.9996,True,FixedL1,0.0001
0.0001,256.0,Test_MCC,Kruskal-Wallis,0.0091,GGAR,0.9995,True,FixedL1,0.0001
0.0001,32.0,Train_Accuracy,Kruskal-Wallis,0.001,GGAR,0.9999,True,Adaptive,0.0
0.0001,32.0,Train_Precision,Kruskal-Wallis,0.00048,GGAR,0.9999,True,Adaptive,0.0
0.0001,32.0,Train_Recall,Kruskal-Wallis,0.00028,GGAR,0.9999,True,FixedL1,0.0
0.0001,32.0,Train_F1,Kruskal-Wallis,0.00039,GGAR,0.9999,True,Adaptive,0.0
0.0001,32.0,Train_MCC,Kruskal-Wallis,0.00091,GGAR,0.9998,True,Adaptive,0.0
0.0001,32.0,Val_Accuracy,Kruskal-Wallis,0.00033,GGAR,0.9999,True,FixedL1,0.0
0.0001,32.0,Val_Precision,Kruskal-Wallis,0.00029,GGAR,0.9999,True,Adaptive,0.0
0.0001,32.0,Val_Recall,Kruskal-Wallis,0.00044,FixedL1,0.9999,True,GGAR,0.0
0.0001,32.0,Val_F1,Kruskal-Wallis,0.00027,GGAR,0.9999,True,FixedL1,0.0
0.0001,32.0,Val_MCC,Kruskal-Wallis,0.0004,GGAR,0.9998,True,FixedL1,0.0
0.0001,32.0,Test_Accuracy,Kruskal-Wallis,9e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_Precision,Kruskal-Wallis,6e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_Recall,Kruskal-Wallis,5e-05,FixedL1,0.9999,True,GGAR,0.0
0.0001,32.0,Test_F1,Kruskal-Wallis,5e-05,Adaptive,0.9999,True,GGAR,0.0
0.0001,32.0,Test_MCC,Kruskal-Wallis,7e-05,Adaptive,0.9998,True,GGAR,0.0
0.0001,64.0,Train_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Train_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Accuracy,Kruskal-Wallis,1e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Precision,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_Recall,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_F1,Kruskal-Wallis,2e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Val_MCC,Kruskal-Wallis,1e-05,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Test_Accuracy,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0002
0.0001,64.0,Test_Precision,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
0.0001,64.0,Test_Recall,Kruskal-Wallis,0.0,GGAR,1.0,True,Adaptive,0.0002
0.0001,64.0,Test_F1,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
0.0001,64.0,Test_MCC,Kruskal-Wallis,0.0,GGAR,1.0,True,FixedL1,0.0003
